
title,category,subcategory,region,subRegion,location,notes,_sheet,slug,tags,prerequisites,weight
Street of Sages Ruins,SoG/Location,' ',Caelid,,,Northeast from Astray from Caelid Highway North SoG,Base Game,street-of-sages-ruins-caelid,base-game,' ',1.0
Meteorite Staff,Staff,' ',Caelid,,,"In the Street of Sages Ruins, first building when dropping from the SoG",Base Game,meteorite-staff-caelid,base-game,' ',1.0
Perfumer's Traveling Set,Armor Set,' ',Caelid,,,In the corner of a building in the Street of Sages Ruins,Base Game,perfumer-s-traveling-set-caelid,base-game,' ',1.0
Perfume Bottle,Consumable,' ',Caelid,,,"Found in the Street of Sages Ruins, near some rot flower enemies",Base Game,perfume-bottle-caelid,base-game,' ',1.0
Rock Sling,Sorcery,' ',Caelid,,,Underground beneath the Street of Sages Ruins,Base Game,rock-sling-caelid,base-game,' ',1.0
Millicent,Invader,' ',Caelid,,,Southeast from Street of Sages Ruins,Base Game,millicent-caelid,base-game,' ',1.0
Inner Aeonia,SoG/Location,' ',Caelid,,,East from Street of Sage Ruins,Base Game,inner-aeonia-caelid,base-game,' ',1.0
"Polyanna, Adopted Daughter",Summon,' ',Caelid,,,Summon sign found near the SoG for Commander O'Neil boss fight,Base Game,polyanna-adopted-daughter-caelid,base-game,' ',1.0
Commander O'Neil,Boss,' ',Caelid,,,South of Inner Aeonia SoG. Drops Commander's Standard and Unalloyed Gold Needle,Base Game,commander-o-neil-caelid,base-game,' ',1.0
Commander's Standard,Halberd,' ',Caelid,,,Dropped by Commander O'Neil,Base Game,commander-s-standard-caelid,base-game,' ',1.0
Unalloyed Gold Needle,Key Item,' ',Caelid,,,Dropped by Commander O'Neil,Base Game,unalloyed-gold-needle-caelid,base-game,' ',1.0
Heart of Aeonia,SoG/Location,' ',Caelid,,,Found after defeating Commander O'Neil,Base Game,heart-of-aeonia-caelid,base-game,' ',1.0
Ash of War: Sacred Ring Light,Ash of War,' ',Caelid,,,East from Commander O'Neil boss. Kill the scarab,Base Game,ash-of-war-sacred-ring-light-caelid,base-game,' ',1.0
Ash of War: Poisonous Mist,Ash of War,' ',Caelid,,,"South end of swamp, find scarab on island",Base Game,ash-of-war-poisonous-mist-caelid,base-game,' ',1.0
Poison Armament,Incantation,' ',Caelid,,,Northeast end of swamp on invisible scarab,Base Game,poison-armament-caelid,base-game,' ',1.0
Decaying Ekzykes,Boss,' ',Caelid,,,East from Astray from Caelid Highway South. Drops Dragon Heart,Base Game,decaying-ekzykes-caelid,base-game,' ',1.0
Dragon Heart,Key Item,' ',Caelid,,,Dropped by Decaying Ekzykes,Base Game,dragon-heart-caelid,base-game,' ',1.0
Cathedral of Dragon Communion,SoG/Location,' ',Caelid,,,Southeast from Decaying Ekzykes. You can buy new Dragon incantations. Any you haven't bought from the Church can also be bought here,Base Game,cathedral-of-dragon-communion-caelid,base-game,' ',1.0
Ancient Dragon Apostle's Cookbook 3,Cookbook,' ',Caelid,,,Found at the Cathedral of Dragon Communion,Base Game,ancient-dragon-apostle-s-cookbook-3-caelid,base-game,' ',1.0
Caelid Catacombs,SoG/Location,' ',Caelid,,,"East from the Cathedral of Dragon Communion. You'll hit a cliff edge, follow that cliff edge continuing East untily you can turn around at the bottom and head West. Contains Grave Glovewort 3, 4, 5 Ghost Glovewort 3, 4",Base Game,caelid-catacombs-caelid,base-game,' ',1.0
Miranda Sprout Ashes,Spirit Ashes,' ',,,Caelid Catacombs,Hidden behind illusory wall right of the straircase in the swamp,Base Game,miranda-sprout-ashes-caelid-catacombs,base-game,' ',1.0
Cemetary Shade,Boss,' ',,,Caelid Catacombs,Drops Kindred of Rot Ashes. Lever to boss is behind illusory wall opposite from the boss door,Base Game,cemetary-shade-caelid-catacombs,base-game,' ',1.0
Kindred of Rot Ashes,Spirit Ashes,' ',,,Caelid Catacombs,Dropped by Cemetary Shade boss,Base Game,kindred-of-rot-ashes-caelid-catacombs,base-game,' ',1.0
Night's Cavalry,Boss,' ',Caelid,,,West of Southern Aeonia Swamp Bank at night. Drops Ash of War: Poison Moth Flight,Base Game,night-s-cavalry-caelid,base-game,' ',1.0
Ash of War: Poison Moth Flight,Ash of War,' ',Caelid,,,Dropped by Night's Cavalry in Caelid,Base Game,ash-of-war-poison-moth-flight-caelid,base-game,' ',1.0
Golden Seed,Flask,' ',Caelid,,,South of the merchant,Base Game,golden-seed-caelid,base-game,' ',1.0
Windy Crystal Tear,Crystal Tear,' ',Caelid,,,"Northeast of the Golden Seed, in the pit near two giant bird enemies",Base Game,windy-crystal-tear-caelid,base-game,' ',1.0
Death Rite Bird,Boss,' ',Caelid,,,Northeast of the Windy Crystal Tear at night. Or Southeast from the Southern Aeonia Swamp Bank SoG. Drops Death's Poker,Base Game,death-rite-bird-caelid,base-game,' ',1.0
Death's Poker,Greatsword,' ',Caelid,,,Dropped by Death Rite Bird in Caelid,Base Game,death-s-poker-caelid,base-game,' ',1.0
Arrow's Sting Talisman,Talisman,' ',Caelid,,,Top of tower next to Impassable Greatbridge SoG,Base Game,arrow-s-sting-talisman-caelid,base-game,' ',1.0
Ash of War: Cragblade,Ash of War,' ',Caelid,,,"West from the Impassable Greatbridge SoG, up near the sword shrine",Base Game,ash-of-war-cragblade-caelid,base-game,' ',1.0
Sellia Gateway,SoG/Location,' ',Caelid,,,North on the road from the Death Rite Bird. Not a SoG,Base Game,sellia-gateway-caelid,base-game,' ',1.0
Gowry's Shack,SoG/Location,' ',Caelid,,,"Past the Sellia Gateway, slightly East and guarded by a large dog. Not a SoG",Base Game,gowry-s-shack-caelid,base-game,' ',1.0
Gowry,NPC,' ',Caelid,,,"Talk to Gowry and exhaust dialogue. Give him the Unalloyed Gold Needle from earlier, then reload. Talk to him again. He will ask you to find Millicent",Base Game,gowry-caelid,base-game,' ',1.0
Sellia Under-Stair,Sog/Location,' ',,,"Sellia, Town of Sorcery","From Gowry's Shack, head North toward the Sellia Town of Sorcery and to the left around the outside of it. You'll find this at the base of the stairs",Base Game,sellia-under-stair-sellia-town-of-sorcery,base-game,' ',1.0
Rotten Stray Ashes,Spirit Ashes,' ',,,"Sellia, Town of Sorcery",North from the Sellia Under-Stair SoG. Past it in ruined building,Base Game,rotten-stray-ashes-sellia-town-of-sorcery,base-game,' ',1.0
"Sellia, Town of Sorcery",SoG/Location,' ',Caelid,,,Head up the stairs from the Sellia Under-Stair SoG. You will need to solve the puzzle in this town which requires lighting three flames at the top of the town's towers. NOTE: You can grab some of the items mentioned below on the rooftops as you do the puzzle,Base Game,sellia-town-of-sorcery-caelid,base-game,' ',1.0
Light the Flames,Event,' ',,,"Sellia, Town of Sorcery",Light the flames on top of the towers,Base Game,light-the-flames-sellia-town-of-sorcery,base-game,' ',1.0
Golden Seed,Flask,' ',,,"Sellia, Town of Sorcery","End of town, climb stairs on right to find Golden Seed",Base Game,golden-seed-sellia-town-of-sorcery,base-game,' ',1.0
Stonesword Key,Key Item,' ',,,"Sellia, Town of Sorcery",Found on Rooftops,Base Game,stonesword-key-sellia-town-of-sorcery,base-game,' ',1.0
Ash of War: Double Slash,Ash of War,' ',,,"Sellia, Town of Sorcery",Found on Rooftops. Kill teleporting scarab,Base Game,ash-of-war-double-slash-sellia-town-of-sorcery,base-game,' ',1.0
Cerulean Tear Scarab,Helmet,' ',,,"Sellia, Town of Sorcery",Found on Rooftops,Base Game,cerulean-tear-scarab-sellia-town-of-sorcery,base-game,' ',1.0
Staff of Loss,Staff,' ',,,"Sellia, Town of Sorcery",Found on Rooftops. Drop from building to balcony,Base Game,staff-of-loss-sellia-town-of-sorcery,base-game,' ',1.0
Redmane Painting,Painting,' ',,,"Sellia, Town of Sorcery",Found in the streets,Base Game,redmane-painting-sellia-town-of-sorcery,base-game,' ',1.0
Night Comet,Sorcery,' ',,,"Sellia, Town of Sorcery",On the street in a chest after lighting the fires in the towers,Base Game,night-comet-sellia-town-of-sorcery,base-game,' ',1.0
Imbued Sword Key,Key Item,' ',,,"Sellia, Town of Sorcery",On the street in a chest after lighting the fires in the towers,Base Game,imbued-sword-key-sellia-town-of-sorcery,base-game,' ',1.0
Spelldrake Talisman +1,Talisman,' ',,,"Sellia, Town of Sorcery",On the street in a chest after lighting the fires in the towers,Base Game,spelldrake-talisman-1-sellia-town-of-sorcery,base-game,' ',1.0
Sellia Backstreets,SoG/Location,' ',,,"Sellia, Town of Sorcery",Past the now opened magic gate near the Golden Seed,Base Game,sellia-backstreets-sellia-town-of-sorcery,base-game,' ',1.0
Nox Swordstress and Nox Priest,Boss,' ',,,"Sellia, Town of Sorcery","At the left gate at the end of the area, down from where the Golden Seed is. Drops the Nox Flowing Sword",Base Game,nox-swordstress-and-nox-priest-sellia-town-of-sorcery,base-game,' ',1.0
Nox Flowing Sword,Curved Sword,' ',,,"Sellia, Town of Sorcery",Dropped by Nox Swordstress and Nox Priest boss,Base Game,nox-flowing-sword-sellia-town-of-sorcery,base-game,' ',1.0
Chair-Crypt of Sellia,SoG/Location,' ',,,"Sellia, Town of Sorcery",Found after defeating the Nox Swordstress and Priest,Base Game,chair-crypt-of-sellia-sellia-town-of-sorcery,base-game,' ',1.0
Lusat's Glintstone Staff,Staff,' ',,,"Sellia, Town of Sorcery",Found in chest in the back of the boss room,Base Game,lusat-s-glintstone-staff-sellia-town-of-sorcery,base-game,' ',1.0
Pearldrake Talisman,Talisman,' ',,,Farum Azula,"Warp to Four Belfries. Use Imbued Sword Key on last warp gate. Go to Farum Azula, hop down platforms, grab Talisman",Base Game,pearldrake-talisman-farum-azula,base-game,' ',1.0
Church of Plague,SoG/Location,' ',,,"Sellia, Town of Sorcery",Warp back to Sellia Backstreets SoG and follow path up,Base Game,church-of-plague-sellia-town-of-sorcery,base-game,' ',1.0
Sacred Tear,Flask,' ',,,"Sellia, Town of Sorcery",Found in Church of Plague,Base Game,sacred-tear-sellia-town-of-sorcery,base-game,' ',1.0
Millicent,NPC,' ',,,"Sellia, Town of Sorcery","Found in Church of Plague. Speak to her and then give her the needle you got from Gowry. Reload the area, exhaust her dialogue to get the Prosthesis-Wearer Heirloom. Rest again and she will disappear",Base Game,millicent-sellia-town-of-sorcery,base-game,' ',1.0
Prosthesis-Wearer Heirloom,Talisman,' ',,,"Sellia, Town of Sorcery",Given by Millicent during her questline after giving her the needle at the Church of Plague,Base Game,prosthesis-wearer-heirloom-sellia-town-of-sorcery,base-game,' ',1.0
Selia Hideaway,SoG/Location,' ',,,"Sellia, Town of Sorcery","From the Church of Plague. Northeast toward higher level, then Northeast. Behind mage, hit rocks and find this dungeon",Base Game,selia-hideaway-sellia-town-of-sorcery,base-game,' ',1.0
Crystalian Ashes,Spirit Ashes,' ',,,Sellia Hideaway,"Attack two illusory walls, drop down first pit, past stake of marika, follow crystal path then fall down another hole. In a chest near three mage enemies",Base Game,crystalian-ashes-sellia-hideaway,base-game,' ',1.0
Crystal Spear,Spear,' ',,,Sellia Hideaway,"Back to crystal room, on a ledge with a corpse, attack wall, find in chest",Base Game,crystal-spear-sellia-hideaway,base-game,' ',1.0
Trio Putrid Crystallians,Boss,' ',,,Sellia Hideaway,Drops Crystsal Torrent,Base Game,trio-putrid-crystallians-sellia-hideaway,base-game,' ',1.0
Crystal Torrent,Sorcery,' ',,,Sellia Hideaway,Dropped by Trio Putrid Crystallians,Base Game,crystal-torrent-sellia-hideaway,base-game,' ',1.0
Gowry,NPC,' ',,,"Sellia, Town of Sorcery","Gowry will be back. You can now buy sorceries including Glintstone Stars, Night Shard, and NIght Maiden's Mist",Base Game,gowry-sellia-town-of-sorcery,base-game,' ',1.0
Glintstone Stars,Sorcery,' ',,,"Sellia, Town of Sorcery",Sold by Gowry,Base Game,glintstone-stars-sellia-town-of-sorcery,base-game,' ',1.0
Night Shard,Sorcery,' ',,,"Sellia, Town of Sorcery",Sold by Gowry,Base Game,night-shard-sellia-town-of-sorcery,base-game,' ',1.0
Night Maiden's Mist,Sorcery,' ',,,"Sellia, Town of Sorcery",Sold by Gowry,Base Game,night-maiden-s-mist-sellia-town-of-sorcery,base-game,' ',1.0
Swamp Lookout Tower,SoG/Location,' ',Caelid,,,South along road from the Church of Plague,Base Game,swamp-lookout-tower-caelid,base-game,' ',1.0
Eternal Darkness,Sorcery,' ',Caelid,,,"Near Swamp Lookout Tower, guarded by Bloodhound Knight",Base Game,eternal-darkness-caelid,base-game,' ',1.0
Blaidd,NPC,' ',,,Redmane Castle,Warp to Redmane Castle Plaza SoG and exhaust dialogue,Base Game,blaidd-redmane-castle,base-game,' ',1.0
Iron Fist Alexander,NPC,' ',,,Redmane Castle,Exhaust Dialogue,Base Game,iron-fist-alexander-redmane-castle,base-game,' ',1.0
Finger Maiden,NPC,' ',,,Redmane Castle,Exhaust Dialogue to receive Polite Bow gesture,Base Game,finger-maiden-redmane-castle,base-game,' ',1.0
Polite Bow,Gesture,' ',,,Redmane Castle,Speak to Finger Maiden to receive,Base Game,polite-bow-redmane-castle,base-game,' ',1.0
Witch-Hunter Jerren,NPC,' ',,,Redmane Castle,Speak to him to start the Radahn Festival and receive the Heartening Cry Gesture,Base Game,witch-hunter-jerren-redmane-castle,base-game,' ',1.0
Heartening Cry,Gesture,' ',,,Redmane Castle,Received by speaking to Witch-Hunter Jerren,Base Game,heartening-cry-redmane-castle,base-game,' ',1.0
Starscourge Radahn,Boss,' ',,,Redmane Castle,"After taking the lift to the waygate, enter the fight. Make sure to summon Great Horned Tragoth to get the Casual Greeting Gesture and anyone else you'd like to use.",Base Game,starscourge-radahn-redmane-castle,base-game,' ',1.0
Casual Greeting,Gesture,' ',,,Redmane Castle,Received by summoning Great Horned Tragoth during Radahn fight. NOTE: You may have already received this from summoning this NPC in another fight,Base Game,casual-greeting-redmane-castle,base-game,' ',1.0
Radahn's Great Rune,Great Rune,' ',,,Redmane Castle,Dropped by Starscourge Radahn,Base Game,radahn-s-great-rune-redmane-castle,base-game,' ',1.0
Remembrance of the Starscourge,Remembrance,' ',,,Redmane Castle,Dropped by Starscourge Radahn. Trade this in to Enia at the Roundtable Hold to get Starscourge Greatsword or Lion Greatbow,Base Game,remembrance-of-the-starscourge-redmane-castle,base-game,' ',1.0
Starscourge Radahn (SoG),SoG/Location,' ',,,Redmane Castle,Appears after defeating Radahn,Base Game,starscourge-radahn-sog-redmane-castle,base-game,' ',1.0
War-Dead Catacombs,SoG/Location,' ',,,Redmane Castle,"Go back to the Starscourge Radahn SoG. North part of the area behind a door. Contains Ghost Glovewort 4, Grave Glovewort 6",Base Game,war-dead-catacombs-redmane-castle,base-game,' ',1.0
Collapsing Stars,Sorcery,' ',,,War-Dead Catacombs,Found in chest on the lowest level,Base Game,collapsing-stars-war-dead-catacombs,base-game,' ',1.0
Radahn Soldier Ashes,Spirit Ashes,' ',,,War-Dead Catacombs,In smaller swamp near Cleanrot Knight ghost,Base Game,radahn-soldier-ashes-war-dead-catacombs,base-game,' ',1.0
Putrid Tree Spirit,Boss,' ',,,War-Dead Catacombs,Drops Golden Seed and Redmane Knight Ogha Ashes,Base Game,putrid-tree-spirit-war-dead-catacombs,base-game,' ',1.0
Golden Seed,Flask,' ',,,War-Dead Catacombs,Dropped by Putrid Tree Spirit,Base Game,golden-seed-war-dead-catacombs,base-game,' ',1.0
Redmane Knight Ogha Ashes,Spirit Ashes,' ',,,War-Dead Catacombs,Dropped by Putrid Tree Spirit,Base Game,redmane-knight-ogha-ashes-war-dead-catacombs,base-game,' ',1.0
Iron Fist Alexander,NPC,' ',,,East Liurnia,South from the Carian Study Hall where you fought the Tibia Mariner. He is stuck in the ground but needs to have oil pot thrown at him,Base Game,iron-fist-alexander-east-liurnia,base-game,' ',1.0
Greyoll's Dragonbarrow,Checkpoint,' ',,,Dragonbarrow,"To start this section, warp over to Caelem Ruins in Caelid. Contains Somber Smithing Stone 8, 9. NOTE: THIS AREA IS SKIPPABLE AND SHOULD HAVE NO CONSEQUENCE TO QUEST PROGRESSION IF YOU COME BACK LATER. VERY DIFFICULT AREA UNLESS YOU ARE ALREADY ON NG+",Base Game,greyoll-s-dragonbarrow-dragonbarrow,base-game,' ',1.0
Dragonbarrow West,SoG/Location,' ',,,Dragonbarrow,"From Caelem Ruins, East across canyon, then more East",Base Game,dragonbarrow-west-dragonbarrow,base-game,' ',1.0
Ghost,Ghost,' ',,,Dragonbarrow,Just North of the Dragonbarrow West SoG,Base Game,ghost-dragonbarrow,base-game,' ',1.0
Map: Dragonbarrow,Map,' ',,,Dragonbarrow,East from Dragonbarrow West SoG,Base Game,map-dragonbarrow-dragonbarrow,base-game,' ',1.0
Spiked Palisade Shield,Greatshield,' ',,,Dragonbarrow,Warp back to Deep Siofra Well SoG (above ground). Continue through canyon to find under a giant,Base Game,spiked-palisade-shield-dragonbarrow,base-game,' ',1.0
Great-Jar,NPC,' ',,,Dragonbarrow,"At the end of the canyon. Talk to him and then defeat the three invader enemies. Upon defeating them, you will receive the Great-Jar's Arsenal talisman. You can cheese the NPC ones off of the ledge by standing on the tree branch overhanging the cliff",Base Game,great-jar-dragonbarrow,base-game,' ',1.0
Great-Jar's Arsenal,Talisman,' ',,,Dragonbarrow,Received from Great-Jar after defeating the three invaders,Base Game,great-jar-s-arsenal-dragonbarrow,base-game,' ',1.0
Sellia Crystal Tunnel,SoG/Location,' ',,,"Sellia, Town of Sorcery","Return to the Sellia Under-Stair SoG and find this Location. Go to the North near the cliffs to find the entrance. Has Smithing Stone 5, 7, Somber Smithing Stone 4, 6",Base Game,sellia-crystal-tunnel-sellia-town-of-sorcery,base-game,' ',1.0
Rock Blaster,Sorcery,' ',,,Sellia Crystal Tunnel,"Found once you've jumped over a small wall and continue through, look for the ladder leading to a pest enemy, will be below that in the small room",Base Game,rock-blaster-sellia-crystal-tunnel,base-game,' ',1.0
Faithful's Canvas Talisman,Talisman,' ',,,Sellia Crystal Tunnel,Continue through area until you find two pest enemies worshipping on a wooden platform,Base Game,faithful-s-canvas-talisman-sellia-crystal-tunnel,base-game,' ',1.0
Fallingstar Beast,Boss,' ',,,Sellia Crystal Tunnel,Drops the Somberstone Miner's Bell Bearing,Base Game,fallingstar-beast-sellia-crystal-tunnel,base-game,' ',1.0
Somberstone Miner's Bell Bearing,Bell Bearing,' ',,,Sellia Crystal Tunnel,Dropped by Fallingstar Beast in Sellia Crystal Tunnel. Given to Twin Maiden Husks at Roundtable Hold to purchase Somber 1 and 2,Base Game,somberstone-miner-s-bell-bearing-sellia-crystal-tunnel,base-game,' ',1.0
Abandoned Cave,SoG/Location,' ',Caelid,,,Warp to Smoldering Wall SoG and head East. Use tree log to cross canyon,Base Game,abandoned-cave-caelid,base-game,' ',1.0
Serpent Bow,Bow,' ',,,Abandoned Cave,"Found after jumping down, near the iron maiden corpse and the poison shooting enemy",Base Game,serpent-bow-abandoned-cave,base-game,' ',1.0
Venomous Fang,Claw,' ',,,Abandoned Cave,"Look for large plant enemy, up on a ledge. Use iron maiden corpses to jump up",Base Game,venomous-fang-abandoned-cave,base-game,' ',1.0
Cleanrot Knights,Boss,' ',,,Abandoned Cave,Drops the Gold Scarab,Base Game,cleanrot-knights-abandoned-cave,base-game,' ',1.0
Gold Scarab,Talisman,' ',,,Abandoned Cave,Dropped by Cleanrot Knights,Base Game,gold-scarab-abandoned-cave,base-game,' ',1.0
Isolated Merchant's Shack,SoG/Location,' ',,,Dragonbarrow,"Northwest from the Dragonbarrow West SoG, head North up road a bit then head West",Base Game,isolated-merchant-s-shack-dragonbarrow,base-game,' ',1.0
Isolated Merchant,NPC,' ',,,Dragonbarrow,Found near Isolated Merchant's Shack. Kill for Isolated Merchant's Bell Bearing 3,Base Game,isolated-merchant-dragonbarrow,base-game,' ',1.0
Isolated Merchant's Bell Bearing 3,Bell Bearing,' ',,,Dragonbarrow,Received from killing Isolated Merchant in Isolated Merchant's Shack,Base Game,isolated-merchant-s-bell-bearing-3-dragonbarrow,base-game,' ',1.0
Spiked Caestus,Fist,' ',,,Dragonbarrow,Bought from merchant at Isolated Shack,Base Game,spiked-caestus-dragonbarrow,base-game,' ',1.0
Beast-Repellent Torch,Torch,' ',,,Dragonbarrow,Bought from merchant at Isolated Shack,Base Game,beast-repellent-torch-dragonbarrow,base-game,' ',1.0
Samurai Set,Armor Set,' ',,,Dragonbarrow,Bought from merchant at Isolated Shack,Base Game,samurai-set-dragonbarrow,base-game,' ',1.0
Sacrificial Twig,Talisman,' ',,,Dragonbarrow,Bought from merchant at Isolated Shack. Three are sold,Base Game,sacrificial-twig-dragonbarrow,base-game,' ',1.0
Ritual Pot,Consumable,' ',,,Dragonbarrow,Bought from merchant at Isolated Shack,Base Game,ritual-pot-dragonbarrow,base-game,' ',1.0
Ash of War: Sky Shot,Ash of War,' ',,,Dragonbarrow,Northwest from the shack. Kill scarab,Base Game,ash-of-war-sky-shot-dragonbarrow,base-game,' ',1.0
Bell-Bearing Hunter,Boss,' ',,,Dragonbarrow,Night time enemy found at Isolated Merchant's Shack. Hardest variant. Drops the Gravity Stone Peddler's Bell Bearing,Base Game,bell-bearing-hunter-dragonbarrow,base-game,' ',1.0
Gravity Stone Peddler's Bell Bearing,Bell Bearing,' ',,,Dragonbarrow,Dropped by Bell-Bearing Hunter at Isolated Merchant's Shack,Base Game,gravity-stone-peddler-s-bell-bearing-dragonbarrow,base-game,' ',1.0
Sellia Evergaol,Evergaol,' ',,,Dragonbarrow,"South from the Dragonbarrow West SoG, on the cliff above the Abandoned Cave. Contains Battlemage Hugues",Base Game,sellia-evergaol-dragonbarrow,base-game,' ',1.0
Battlemage Hugues,Boss,' ',,,Dragonbarrow,Located in the Sellia Evergaol. Drops the Battlemage Hugues Ashes,Base Game,battlemage-hugues-dragonbarrow,base-game,' ',1.0
Battlemage Hugues Ashes,Spirit Ashes,' ',,,Dragonbarrow,Dropped by Battlemage Hugues in the Sellia Evergaol,Base Game,battlemage-hugues-ashes-dragonbarrow,base-game,' ',1.0
Divine Tower of Caelid,SoG/Location,' ',,,Dragonbarrow,Northeast from the Dragonbarrow West SoG. Use careful platforming up the side of the tower,Base Game,divine-tower-of-caelid-dragonbarrow,base-game,' ',1.0
Stonesword Key,Key Item,' ',,,Divine Tower of Caelid,Along the platforms on the outside of the tower,Base Game,stonesword-key-divine-tower-of-caelid,base-game,' ',1.0
Divine Tower of Caelid: Center,SoG/Location,' ',,,Divine Tower of Caelid,Found after climbing platforms to the top,Base Game,divine-tower-of-caelid-center-divine-tower-of-caelid,base-game,' ',1.0
Divine Tower of Caelid: Basement,SoG/Location,' ',,,Divine Tower of Caelid,Found at the bottom of the inner Caelid Tower,Base Game,divine-tower-of-caelid-basement-divine-tower-of-caelid,base-game,' ',1.0
Godskin Apostle,Boss,' ',,,Divine Tower of Caelid,Platform jump to the bottom of the tower to find him. Drops Godskin Apostle Set,Base Game,godskin-apostle-divine-tower-of-caelid,base-game,' ',1.0
Godskin Apostle Set,Armor Set,' ',,,Divine Tower of Caelid,Dropped by Godskin Apostle,Base Game,godskin-apostle-set-divine-tower-of-caelid,base-game,' ',1.0
Godslayer's Greatsword,Colossal Sword,' ',,,Divine Tower of Caelid,Found in the next room from the Godskin Apostle,Base Game,godslayer-s-greatsword-divine-tower-of-caelid,base-game,' ',1.0
Radahn's Great Rune,Great Rune,' ',,,Divine Tower of Caelid,Go to the top of the tower to activate this rune,Base Game,radahn-s-great-rune-divine-tower-of-caelid,base-game,' ',1.0
Fort Faroth,SoG/Location,' ',,,Dragonbarrow,East of Dragonbarrow West SoG location then right at intersection. Fort at the end of the road,Base Game,fort-faroth-dragonbarrow,base-game,' ',1.0
Dectus Medallion (Right),Key Item,' ',,,Fort Faroth,In a chest on the roof,Base Game,dectus-medallion-right-fort-faroth,base-game,' ',1.0
Radagon's Soreseal,Talisman,' ',,,Fort Faroth,Through the hole with the rats,Base Game,radagon-s-soreseal-fort-faroth,base-game,' ',1.0
Elder Dragon Greyoll,Boss,' ',,,Dragonbarrow,"West from the fort. Go behind the drgon, near the Smoldering Wall, and strike it from behind. This will take ages but will drop 5 Dragon Hearts. NOTE: There is an exploit where you can kill Greyoll, then rush back to the SoG on Torrent and rest, then kill him again. This appears to be indefinite",Base Game,elder-dragon-greyoll-dragonbarrow,base-game,' ',1.0
Dragon Hearts,Key Item,' ',,,Dragonbarrow,5 are dropped by Elder Dragon Greyoll,Base Game,dragon-hearts-dragonbarrow,base-game,' ',1.0
Stonesword Key,Key Item,' ',,,Dragonbarrow,"Southwest from Greyoll, on top of the giant white coral looking rock. You'll also find some Smithing Stone 7 and 8 here",Base Game,stonesword-key-dragonbarrow,base-game,' ',1.0
Minor Erdtree,SoG/Location,' ',,,Dragonbarrow,"Northeast from Fort Faroth, drop down spirit spring",Base Game,minor-erdtree-dragonbarrow,base-game,' ',1.0
Putrid Avatar,Boss,' ',,,Dragonbarrow,Drops Stonebarb Cracked  Tear and Opaline Hardtear,Base Game,putrid-avatar-dragonbarrow,base-game,' ',1.0
Stonebarb Cracked Tear,Crystal Tear,' ',,,Dragonbarrow,Dropped by Putrid Avatar near Dragonbarrow Minor Erdtree,Base Game,stonebarb-cracked-tear-dragonbarrow,base-game,' ',1.0
Opaline Hardtear,Crystal Tear,' ',,,Dragonbarrow,Dropped by Putrid Avatar near Dragonbarrow Minor Erdtree,Base Game,opaline-hardtear-dragonbarrow,base-game,' ',1.0
Ash of War: Rain of Arrows,Ash of War,' ',,,Dragonbarrow,You'll need to descend the cliff from the Minor Erdtree carefully down. You'll see a platform at the bottom with a Golem. Found by ghost after picking up the Redmane Painting in Sellia Town,Base Game,ash-of-war-rain-of-arrows-dragonbarrow,base-game,' ',1.0
Bestial Constitution,Incantation,' ',,,Dragonbarrow,North of Minor Erdtree if you follow the road. On scarab to the left down the cliff,Base Game,bestial-constitution-dragonbarrow,base-game,' ',1.0
Dragonbarrow Fork,SoG/Location,' ',,,Dragonbarrow,"West of the Minor Erdtree, down the road along the cliff",Base Game,dragonbarrow-fork-dragonbarrow,base-game,' ',1.0
Dragonbarrow Cave,SoG/Location,' ',,,Dragonbarrow,"East from the Dragonbarrow Fork SoG, near the bear",Base Game,dragonbarrow-cave-dragonbarrow,base-game,' ',1.0
Bull-Goat's Talisman,Talisman,' ',,,Dragonbarrow Cave,Past the rune bear in the small alcove with the animals,Base Game,bull-goat-s-talisman-dragonbarrow-cave,base-game,' ',1.0
Beastmen of Farum Azula,Boss,' ',,,Dragonbarrow Cave,Drops Flamedrake Talisman +2,Base Game,beastmen-of-farum-azula-dragonbarrow-cave,base-game,' ',1.0
Flamedrake Talisman +2,Talisman,' ',,,Dragonbarrow Cave,Dropped by Beastmen of Farum Azula,Base Game,flamedrake-talisman-2-dragonbarrow-cave,base-game,' ',1.0
Lenne's Rise,SoG/Location,' ',,,Dragonbarrow,"From the Dragonbarrow Fork SoG, follow the lower road East. Use spiritspring to enter via balcony",Base Game,lenne-s-rise-dragonbarrow,base-game,' ',1.0
Memory Stone,Key Item,' ',,,Dragonbarrow,Found in Lenne's Rise,Base Game,memory-stone-dragonbarrow,base-game,' ',1.0
Night's Cavalry,Boss,' ',,,Dragonbarrow,"North from Lenne's Rise, night boss. Drops Ash of War: Bloodhound's Step",Base Game,night-s-cavalry-dragonbarrow,base-game,' ',1.0
Ash of War: Bloodhound's Step,Ash of War,' ',,,Dragonbarrow,Dropped by Night's Cavalry boss in Dragonbarrow near Lenne's Rise,Base Game,ash-of-war-bloodhound-s-step-dragonbarrow,base-game,' ',1.0
Farum Greatbridge,SoG/Location,' ',,,Dragonbarrow,On the North side of the bridge leading to the Beast Clergyman. Head North across the bridge where you fought the Night's Calvalry and then head up the hill. Cut left and head West toward the other bridge,Base Game,farum-greatbridge-dragonbarrow,base-game,' ',1.0
